order_id,customer,sku,actual_qty,actual_date
ORD-1001,Velo Parts Ltd,BRK-1001,120,2025-07-03
ORD-1002,Velo Parts Ltd,CHN-2002,185,2025-07-05
ORD-1003,Northwind Cycles,CRK-3003,60,2025-07-10
ORD-1004,Alpine Gear Co,HDL-4004,90,2025-07-11
ORD-1005,Crankset Supply Inc,SDL-5005,150,2025-07-14
ORD-1006,Northwind Cycles,WHL-6006,28,2025-07-17
ORD-1008,Velo Parts Ltd,TYR-8008,300,2025-07-26
ORD-1009,Pedalworks Trading,PDL-9009,110,2025-07-28
ORD-1010,Alpine Gear Co,CBL-1010,460,2025-07-30
ORD-1011,Crankset Supply Inc,BRK-1001,80,2025-08-01
ORD-1012,Northwind Cycles,CHN-2002,220,2025-08-04
ORD-1013,Summit Bike Supply,CRK-3003,61,2025-08-06
ORD-1014,Velo Parts Ltd,CHN-2002,100,2025-08-08
ORD-1014,Velo Parts Ltd,CHN-2002,80,2025-08-11
ORD-1015,Pedalworks Trading,HDL-4004,95,2025-08-12
ORD-1016,Alpine Gear Co,SDL-5005,118,2025-08-19
ORD-1017,Crankset Supply Inc,WHL-6006,30,2025-08-18
ORD-1018,Northwind Cycles,DRL-7007,70,2025-08-20
ORD-1019,Summit Bike Supply,TYR-8008,245,2025-08-22
ORD-1020,Velo Parts Ltd,PDL-9009,140,2025-08-25
ORD-1021,Pedalworks Trading,CBL-1010,450,
ORD-1022,Alpine Gear Co,BRK-1001,100,2025-09-01
ORD-1023,Crankset Supply Inc,CHN-2002,150,2025-09-03
ORD-1024,Northwind Cycles,CRK-3003,65,2025-09-08
ORD-1025,Summit Bike Supply,HDL-4004,40,2025-09-09
ORD-1026,Velo Parts Ltd,SDL-5005,160,2025-09-12
ORD-1026,Velo Parts Ltd,WHL-6006,45,2025-09-14
ORD-1027,Pedalworks Trading,DRL-7007,72,2025-09-16
ORD-1029,Crankset Supply Inc,PDL-9009,125,2025-09-23
ORD-1090,Northwind Cycles,CBL-1010,300,2025-09-25
